n,lam,d,cand,Lzero,Rzero,shift_c,ratio_re,ratio_im
6,4|2,4,princN6,0,0,,-1.5,-0.0
6,4|2,4,fakedeg,0,0,,-3.0,-0.0
6,4|1|1,2,princN3,0,0,0,1.0,0.0
6,4|1|1,2,princN4,0,0,0,1.0,0.0
6,4|1|1,2,princN6,0,0,,0.25,0.0
6,4|1|1,2,fakedeg,0,0,0,1.0,0.0
6,4|1|1,3,princN3,0,0,0,1.0,-0.0
6,4|1|1,3,princN4,0,0,0,1.0,0.0
6,4|1|1,3,princN6,0,0,,0.333333,0.0
6,4|1|1,3,fakedeg,0,0,0,1.0,-0.0
6,4|1|1,4,princN3,0,1,,,
6,4|1|1,4,princN4,0,1,,,
6,4|1|1,4,princN6,0,1,,,
6,4|1|1,4,fakedeg,0,1,,,
6,3|3,2,princN2,0,0,,3.0,-0.0
6,3|3,2,princN3,0,0,,1.5,-0.0
6,3|3,2,princN6,0,0,,0.166667,0.0
6,3|3,2,fakedeg,0,0,0,1.0,-0.0
6,3|3,3,princN2,0,0,,2.0,-0.0
6,3|3,3,princN3,0,0,,2.0,-0.0
6,3|3,3,princN6,0,0,,0.5,0.0
6,3|3,3,fakedeg,0,0,0,1.0,-0.0
6,3|3,4,princN2,0,0,,-2.0,1.0
6,3|3,4,princN3,0,1,,,
6,3|3,4,princN6,0,0,,-1.0,0.5
6,3|3,4,fakedeg,0,0,,-1.0,-2.0
6,3|2|1,2,princN3,1,1,0,,
6,3|2|1,2,princN4,1,1,0,,
6,3|2|1,2,princN6,1,1,0,,
6,3|2|1,2,fakedeg,1,1,0,,
6,3|2|1,3,princN3,0,0,,-4.0,0.0
6,3|2|1,3,princN4,0,0,,-2.0,0.0
6,3|2|1,3,princN6,0,0,,-1.0,-0.0
6,3|2|1,3,fakedeg,0,0,,-2.0,0.0
6,3|2|1,4,princN3,0,1,,,
6,3|2|1,4,princN4,0,1,,,
6,3|2|1,4,princN6,0,1,,,
6,3|2|1,4,fakedeg,0,1,,,
6,3|1|1|1,2,princN3,0,1,,,
6,3|1|1|1,2,princN4,0,0,0,1.0,-0.0
6,3|1|1|1,2,princN5,0,0,0,1.0,-0.0
6,3|1|1|1,2,princN6,0,0,,0.25,-0.0
6,3|1|1|1,2,fakedeg,0,0,0,1.0,-0.0
6,3|1|1|1,3,princN3,0,1,,,
6,3|1|1|1,3,princN4,0,0,0,1.0,-0.0
6,3|1|1|1,3,princN5,0,0,0,1.0,0.0
6,3|1|1|1,3,princN6,0,0,0,1.0,0.0
6,3|1|1|1,3,fakedeg,0,0,0,1.0,-0.0
6,3|1|1|1,4,princN3,0,1,,,
6,3|1|1|1,4,princN4,0,1,,,
6,3|1|1|1,4,princN5,0,1,,,
6,3|1|1|1,4,princN6,0,1,,,
6,3|1|1|1,4,fakedeg,0,1,,,
6,2|2|2,2,princN2,0,1,,,
6,2|2|2,2,princN3,0,0,,3.0,0.0
6,2|2|2,2,princN4,0,0,,1.5,0.0
6,2|2|2,2,princN6,0,0,,0.333333,0.0
6,2|2|2,2,fakedeg,0,0,0,1.0,0.0
6,2|2|2,3,princN2,0,1,,,
6,2|2|2,3,princN3,0,0,,2.0,0.0
6,2|2|2,3,princN4,0,0,,2.0,0.0
6,2|2|2,3,princN6,0,0,,0.5,0.0
6,2|2|2,3,fakedeg,0,0,0,1.0,0.0
6,2|2|2,4,princN2,0,1,,,
6,2|2|2,4,princN3,0,0,,2.0,1.0
6,2|2|2,4,princN4,0,1,,,
6,2|2|2,4,princN6,0,0,,-1.0,2.0
6,2|2|2,4,fakedeg,0,0,,-1.0,2.0
6,2|2|1|1,2,princN2,0,1,,,
6,2|2|1|1,2,princN4,0,0,,1.5,-0.0
6,2|2|1|1,2,princN5,0,0,0,1.0,0.0
6,2|2|1|1,2,princN6,0,0,,0.333333,0.0
6,2|2|1|1,2,fakedeg,0,0,0,1.0,-0.0
6,2|2|1|1,3,princN2,0,1,,,
6,2|2|1|1,3,princN4,0,1,,,
6,2|2|1|1,3,princN5,0,1,,,
6,2|2|1|1,3,princN6,0,1,,,
6,2|2|1|1,3,fakedeg,0,1,,,
6,2|2|1|1,4,princN2,0,1,,,
6,2|2|1|1,4,princN4,0,1,,,
6,2|2|1|1,4,princN5,0,0,,-3.0,-0.0
6,2|2|1|1,4,princN6,0,0,,0.0,3.0
6,2|2|1|1,4,fakedeg,0,0,,-3.0,-0.0
6,2|1|1|1|1,2,princN2,0,1,,,
6,2|1|1|1|1,2,princN5,0,0,0,1.0,0.0
6,2|1|1|1|1,2,princN6,0,0,0,1.0,0.0
6,2|1|1|1|1,2,fakedeg,0,0,0,1.0,0.0
6,2|1|1|1|1,3,princN2,0,1,,,
6,2|1|1|1|1,3,princN5,0,0,,-2.0,0.0
6,2|1|1|1|1,3,princN6,0,0,,-2.0,0.0
6,2|1|1|1|1,3,fakedeg,0,0,,-2.0,0.0
6,2|1|1|1|1,4,princN2,0,1,,,
6,2|1|1|1|1,4,princN5,0,0,,3.0,2.0
6,2|1|1|1|1,4,princN6,0,0,,2.0,-3.0
6,2|1|1|1|1,4,fakedeg,0,0,,3.0,2.0
6,1|1|1|1|1|1,2,princN1,0,1,,,
6,1|1|1|1|1|1,2,princN6,0,0,0,1.0,0.0
6,1|1|1|1|1|1,2,princN7,0,0,0,1.0,0.0
6,1|1|1|1|1|1,2,fakedeg,0,0,0,1.0,0.0
6,1|1|1|1|1|1,3,princN1,0,1,,,
6,1|1|1|1|1|1,3,princN6,0,0,0,1.0,0.0
6,1|1|1|1|1|1,3,princN7,0,0,0,1.0,0.0
6,1|1|1|1|1|1,3,fakedeg,0,0,0,1.0,0.0
6,1|1|1|1|1|1,4,princN1,0,1,,,
6,1|1|1|1|1|1,4,princN6,0,0,0,1.0,0.0
6,1|1|1|1|1|1,4,princN7,0,0,3,0.0,-1.0
6,1|1|1|1|1|1,4,fakedeg,0,0,0,1.0,0.0
7,7,2,princN1,0,0,0,1.0,0.0
7,7,2,princN2,0,1,,,
7,7,2,princN7,0,0,,0.05,0.0
7,7,2,fakedeg,0,0,0,1.0,0.0
7,7,3,princN1,0,0,0,1.0,0.0
7,7,3,princN2,0,0,,0.5,-0.866025
7,7,3,princN7,0,0,,0.166667,0.0
7,7,3,fakedeg,0,0,0,1.0,0.0
7,7,4,princN1,0,0,0,1.0,0.0
7,7,4,princN2,0,1,,,
7,7,4,princN7,0,1,,,
7,7,4,fakedeg,0,0,0,1.0,0.0
7,6|1,2,princN2,1,1,0,,
7,6|1,2,princN3,1,1,0,,
7,6|1,2,princN6,1,1,0,,
7,6|1,2,princN7,1,1,0,,
7,6|1,2,fakedeg,1,1,0,,
7,6|1,3,princN2,0,1,,,
7,6|1,3,princN3,0,1,,,
7,6|1,3,princN6,0,1,,,
7,6|1,3,princN7,0,1,,,
7,6|1,3,fakedeg,0,1,,,
7,6|1,4,princN2,0,0,,-3.0,0.0
